title,view_count,likes,dislikes,comment_count
"Kundali Bhagya | Premiere Episode 754 Preview - Aug 22 2020 | Before ZEE TV | Hindi TV Serial",1256247,8397,862,778
"Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 270 - Full Episode",521612,6810,610,192
"The 751 shoe launch - Guru Randhawa - Ad",387208,15517,483,1619
"MS Dhoni – the finisher",917942,86941,502,3069
"Fashion DARE Challenge - TWIN CHALLENGE | Episode 7 | DIYQueen",834312,50821,1976,5534
"सबसे बड़ी पतंग World's Biggest Kite | Hindi Comedy | Pakau TV Channel",2066797,30473,4475,1096
"JANAM FIDAE UMER | HAFIZ TAHIR QADRI | MANQABAT 2020 HAZRAT UMER FAROOQ",155867,16569,1316,3010
"Kolukattai Recipe in Tamil | Pidi Kolukattai with Pooranam | How to make Kozhukattai at home",684129,20712,537,4693
"Swimming Pool Stereotypes",14167234,603888,10498,27081
"How to Look Stylish - Try On Makeup, Hairstyle and Saree | Anaysa",682228,57665,1732,4044
"Dhee Champions | 26th August 2020 | latest Promo | ETV Telugu",3231025,53183,2694,1975
"WE ARE KNIGHTRIDERS | Choudhary Family | Vivek Choudhary | Khushi Punjaban",3279860,279981,5333,9964
"ZARA TRY ON LOCKDOWN HAUL! I'm back! | Sejal Kumar",278461,20418,1161,1233
"2020 Anukunnadi Okati Ayyinadi Okati Promo 3 - Vinayaka Chavithi Special Event - Sudigali Sudheer",7220796,120878,8561,4554
"Doctor - Nenjame Music Video | Sivakarthikeyan | Anirudh Ravichander | Nelson Dilipkumar",1467872,119706,6500,6548
"ETERNALS #1 Announcement Trailer | Marvel Comics",559149,20389,990,1382
"Ahadishika on the Floor | Ahaana , Diya , Ishaani , Hansika | Waving Flag",507200,30185,8330,1926
"Taarak Mehta Ka Ooltah Chashmah | तारक मेहता का उल्टा चश्मा | Episode 670 | Full Episode",1026983,9698,1111,252
